first,second
w4 p5 s2,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [338.48, 332.53, 325.76, 326.65, 327.7, 367.18, 438.64, 498.5, 496.34, 432.76, 368.15, 332.53, 328.29, 317.95, 321.15, 333.87, 349.33, 419.08, 503.25, 520.51, 447.78, 407.04, 388.45, 288.58], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w4 p5 s3,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [338.48, 332.53, 325.76, 326.65, 327.7, 367.18, 438.64, 498.5, 496.34, 432.76, 368.15, 332.53, 328.29, 317.95, 321.15, 333.87, 349.33, 419.08, 503.25, 520.51, 447.78, 407.04, 388.45, 288.58], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w4 p6 s1,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [413.22, 394.48, 372.02, 364.66, 364.36, 394.7, 437.98, 519.78, 506.24, 433.96, 353.14, 337.15, 326.51, 321.53, 320.71, 324.43, 315.36, 318.48, 313.65, 309.34, 287.62, 283.98, 256.24, 179.36], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w4 p6 s2,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [413.22, 394.48, 372.02, 364.66, 364.36, 394.7, 437.98, 519.78, 506.24, 433.96, 353.14, 337.15, 326.51, 321.53, 320.71, 324.43, 315.36, 318.48, 313.65, 309.34, 287.62, 283.98, 256.24, 179.36], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w4 p6 s3,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [413.22, 394.48, 372.02, 364.66, 364.36, 394.7, 437.98, 519.78, 506.24, 433.96, 353.14, 337.15, 326.51, 321.53, 320.71, 324.43, 315.36, 318.48, 313.65, 309.34, 287.62, 283.98, 256.24, 179.36], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w4 p7 s1,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [301.84, 295.66, 294.47, 286.07, 279.52, 257.36, 256.76, 247.91, 233.48, 151.51, 120.87, 134.41, 44.7, 15.02, 0.74, 7.51, 53.41, 88.89, 97.14, 86.73, 78.32, 40.46, 24.1, 0.37], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w4 p7 s2,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [301.84, 295.66, 294.47, 286.07, 279.52, 257.36, 256.76, 247.91, 233.48, 151.51, 120.87, 134.41, 44.7, 15.02, 0.74, 7.51, 53.41, 88.89, 97.14, 86.73, 78.32, 40.46, 24.1, 0.37], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w4 p7 s3,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [301.84, 295.66, 294.47, 286.07, 279.52, 257.36, 256.76, 247.91, 233.48, 151.51, 120.87, 134.41, 44.7, 15.02, 0.74, 7.51, 53.41, 88.89, 97.14, 86.73, 78.32, 40.46, 24.1, 0.37], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w4 p8 s1,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [371.86, 374.61, 387.92, 393.35, 409.78, 515.17, 640.26, 714.71, 475.97, 383.68, 375.57, 367.91, 368.21, 349.47, 341.81, 343.59, 359.96, 372.6, 402.57, 359.44, 402.2, 368.36, 359.96, 481.16], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w4 p8 s2,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [371.86, 374.61, 387.92, 393.35, 409.78, 515.17, 640.26, 714.71, 475.97, 383.68, 375.57, 367.91, 368.21, 349.47, 341.81, 343.59, 359.96, 372.6, 402.57, 359.44, 402.2, 368.36, 359.96, 481.16], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w4 p8 s3,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [371.86, 374.61, 387.92, 393.35, 409.78, 515.17, 640.26, 714.71, 475.97, 383.68, 375.57, 367.91, 368.21, 349.47, 341.81, 343.59, 359.96, 372.6, 402.57, 359.44, 402.2, 368.36, 359.96, 481.16], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w4 p9 s1,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [387.35, 375.23, 364.59, 367.57, 365.63, 358.49, 367.27, 377.46, 357.53, 343.4, 343.03, 326.52, 256.02, 245.91, 204.27, 19.48, 265.99, 375.67, 415.68, 499.04, 494.43, 458.66, 393.3, 403.93], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w4 p9 s2,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [387.35, 375.23, 364.59, 367.57, 365.63, 358.49, 367.27, 377.46, 357.53, 343.4, 343.03, 326.52, 256.02, 245.91, 204.27, 19.48, 265.99, 375.67, 415.68, 499.04, 494.43, 458.66, 393.3, 403.93], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w4 p9 s3,"[[0.25, 0.24, 0.25, 0.29, 0.31, 0.32, 0.34, 0.37, 0.37, 0.32, 0.24, 0.19, 0.19, 0.18, 0.14, 0.11, 0.1, 0.09, 0.11, 0.11, 0.11, 0.09, 0.08, 0.08], [387.35, 375.23, 364.59, 367.57, 365.63, 358.49, 367.27, 377.46, 357.53, 343.4, 343.03, 326.52, 256.02, 245.91, 204.27, 19.48, 265.99, 375.67, 415.68, 499.04, 494.43, 458.66, 393.3, 403.93], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w5 p1 s1,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w5 p1 s2,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w5 p1 s3,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [378.52, 358.58, 332.46, 319.37, 300.54, 299.13, 294.89, 298.31, 307.09, 333.95, 334.85, 351.22, 377.85, 338.49, 332.84, 346.68, 394.3, 448.39, 451.0, 449.14, 427.11, 400.77, 397.72, 369.97], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w5 p10 s1,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w5 p10 s2,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w5 p10 s3,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [394.35, 392.34, 399.92, 421.79, 451.61, 595.42, 702.43, 754.86, 644.43, 609.78, 608.74, 580.18, 535.41, 475.92, 451.83, 442.83, 526.42, 579.73, 637.81, 661.24, 647.26, 609.78, 579.96, 505.67], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w5 p11 s1,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w5 p11 s2,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w5 p11 s3,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [438.31, 420.16, 418.15, 423.51, 461.06, 587.41, 637.98, 647.72, 581.53, 483.0, 454.37, 432.28, 417.34, 411.98, 423.21, 432.28, 524.87, 590.16, 644.74, 633.14, 598.64, 560.04, 498.84, 483.37], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w5 p12 s1,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w5 p12 s2,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w5 p12 s3,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [540.63, 508.13, 487.83, 491.47, 515.49, 601.68, 663.85, 687.87, 629.05, 553.57, 590.15, 611.12, 491.17, 484.85, 492.66, 531.7, 607.55, 639.6, 722.74, 713.0, 670.24, 648.83, 602.13, 607.91], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w5 p13 s1,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w5 p13 s2,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w5 p13 s3,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [580.69, 543.88, 527.0, 505.22, 532.28, 613.78, 718.26, 721.76, 649.11, 571.1, 468.7, 441.19, 430.18, 428.62, 429.14, 439.18, 545.45, 680.11, 743.17, 769.42, 773.14, 757.82, 678.78, 612.27], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w5 p14 s1,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w5 p14 s2,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w5 p14 s3,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [370.46, 358.85, 348.52, 343.68, 346.95, 372.84, 391.28, 398.87, 395.15, 391.36, 374.18, 362.2, 323.38, 299.5, 323.53, 348.52, 398.12, 546.35, 688.7, 769.55, 751.18, 632.18, 517.79, 438.84], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w5 p15 s1,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [291.53, 284.61, 237.39, 278.89, 378.39, 537.17, 612.73, 646.28, 588.49, 487.05, 476.93, 464.22, 455.29, 456.78, 408.81, 423.54, 557.48, 679.52, 765.34, 800.3, 766.01, 716.48, 622.11, 547.74], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w5 p15 s2,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [291.53, 284.61, 237.39, 278.89, 378.39, 537.17, 612.73, 646.28, 588.49, 487.05, 476.93, 464.22, 455.29, 456.78, 408.81, 423.54, 557.48, 679.52, 765.34, 800.3, 766.01, 716.48, 622.11, 547.74], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w5 p15 s3,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [291.53, 284.61, 237.39, 278.89, 378.39, 537.17, 612.73, 646.28, 588.49, 487.05, 476.93, 464.22, 455.29, 456.78, 408.81, 423.54, 557.48, 679.52, 765.34, 800.3, 766.01, 716.48, 622.11, 547.74], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w5 p16 s1,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [641.2, 622.68, 618.74, 624.39, 659.64, 766.81, 884.98, 927.67, 847.8, 795.66, 780.86, 737.06, 669.31, 633.47, 630.72, 669.39, 768.3, 842.37, 931.24, 938.08, 929.08, 823.18, 788.3, 762.36], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w5 p16 s2,"[[0.08, 0.09, 0.08, 0.09, 0.08, 0.09, 0.1, 0.12, 0.12, 0.1, 0.07, 0.06, 0.05, 0.04, 0.04, 0.04, 0.05, 0.06, 0.09, 0.11, 0.13, 0.13, 0.11, 0.08], [641.2, 622.68, 618.74, 624.39, 659.64, 766.81, 884.98, 927.67, 847.8, 795.66, 780.86, 737.06, 669.31, 633.47, 630.72, 669.39, 768.3, 842.37, 931.24, 938.08, 929.08, 823.18, 788.3, 762.36], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
