first,second
w1 p15 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [291.53, 284.61, 237.39, 278.89, 378.39, 537.17, 612.73, 646.28, 588.49, 487.05, 476.93, 464.22, 455.29, 456.78, 408.81, 423.54, 557.48, 679.52, 765.34, 800.3, 766.01, 716.48, 622.11, 547.74], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p16 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [641.2, 622.68, 618.74, 624.39, 659.64, 766.81, 884.98, 927.67, 847.8, 795.66, 780.86, 737.06, 669.31, 633.47, 630.72, 669.39, 768.3, 842.37, 931.24, 938.08, 929.08, 823.18, 788.3, 762.36], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p16 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [641.2, 622.68, 618.74, 624.39, 659.64, 766.81, 884.98, 927.67, 847.8, 795.66, 780.86, 737.06, 669.31, 633.47, 630.72, 669.39, 768.3, 842.37, 931.24, 938.08, 929.08, 823.18, 788.3, 762.36], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p16 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [641.2, 622.68, 618.74, 624.39, 659.64, 766.81, 884.98, 927.67, 847.8, 795.66, 780.86, 737.06, 669.31, 633.47, 630.72, 669.39, 768.3, 842.37, 931.24, 938.08, 929.08, 823.18, 788.3, 762.36], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p17 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [718.51, 710.85, 680.59, 675.83, 712.34, 910.58, 1011.26, 1001.59, 915.56, 810.71, 736.28, 666.39, 657.91, 657.24, 668.62, 686.46, 884.92, 978.32, 1070.22, 1066.13, 966.19, 899.42, 876.37, 848.82], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p17 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [718.51, 710.85, 680.59, 675.83, 712.34, 910.58, 1011.26, 1001.59, 915.56, 810.71, 736.28, 666.39, 657.91, 657.24, 668.62, 686.46, 884.92, 978.32, 1070.22, 1066.13, 966.19, 899.42, 876.37, 848.82], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p17 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [718.51, 710.85, 680.59, 675.83, 712.34, 910.58, 1011.26, 1001.59, 915.56, 810.71, 736.28, 666.39, 657.91, 657.24, 668.62, 686.46, 884.92, 978.32, 1070.22, 1066.13, 966.19, 899.42, 876.37, 848.82], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
w1 p18 s1,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [779.88, 772.74, 770.14, 779.65, 818.02, 1130.85, 1196.66, 1239.64, 1167.44, 1099.99, 1041.47, 883.68, 869.26, 884.87, 1053.15, 1122.3, 1182.98, 1364.12, 1493.72, 1436.69, 1196.51, 1094.19, 975.44, 908.95], [0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]]"
w1 p18 s2,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [779.88, 772.74, 770.14, 779.65, 818.02, 1130.85, 1196.66, 1239.64, 1167.44, 1099.99, 1041.47, 883.68, 869.26, 884.87, 1053.15, 1122.3, 1182.98, 1364.12, 1493.72, 1436.69, 1196.51, 1094.19, 975.44, 908.95], [1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]]"
w1 p18 s3,"[[0.69, 0.63, 0.6, 0.54, 0.51, 0.44, 0.41, 0.4, 0.38, 0.33, 0.28, 0.23, 0.24, 0.24, 0.21, 0.13, 0.11, 0.11, 0.15, 0.24, 0.39, 0.53, 0.65, 0.75], [779.88, 772.74, 770.14, 779.65, 818.02, 1130.85, 1196.66, 1239.64, 1167.44, 1099.99, 1041.47, 883.68, 869.26, 884.87, 1053.15, 1122.3, 1182.98, 1364.12, 1493.72, 1436.69, 1196.51, 1094.19, 975.44, 908.95], [1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
